==========> Fault Simulation Begins at                    0 
Test Vector number           0 is:  000001000100100111011110001011111110 
Undetected fault:   SerialFS_TB.FUT.N1 to 0 at                  180
Undetected fault:   SerialFS_TB.FUT.N4 to 1 at                  810
Undetected fault:   SerialFS_TB.FUT.N7 to 1 at                 1230
Undetected fault:   SerialFS_TB.FUT.N10 to 0 at                 1440
Undetected fault:   SerialFS_TB.FUT.N13 to 0 at                 1860
Undetected fault:   SerialFS_TB.FUT.N16 to 0 at                 2280
Undetected fault:   SerialFS_TB.FUT.N19 to 0 at                 2700
Undetected fault:   SerialFS_TB.FUT.N22 to 1 at                 3330
Undetected fault:   SerialFS_TB.FUT.N25 to 0 at                 3540
Undetected fault:   SerialFS_TB.FUT.N28 to 0 at                 3960
Undetected fault:   SerialFS_TB.FUT.N31 to 1 at                 4590
Undetected fault:   SerialFS_TB.FUT.N34 to 0 at                 4800
Undetected fault:   SerialFS_TB.FUT.N37 to 0 at                 5220
Undetected fault:   SerialFS_TB.FUT.N40 to 1 at                 5850
Undetected fault:   SerialFS_TB.FUT.N43 to 1 at                 6270
Undetected fault:   SerialFS_TB.FUT.N46 to 0 at                 6480
Undetected fault:   SerialFS_TB.FUT.N49 to 0 at                 6900
Undetected fault:   SerialFS_TB.FUT.N49 to 1 at                 7110
Undetected fault:   SerialFS_TB.FUT.N53 to 0 at                 7320
Undetected fault:   SerialFS_TB.FUT.N53 to 1 at                 7530
Undetected fault:   SerialFS_TB.FUT._0857_/Y to 1 at                 7740
Undetected fault:   SerialFS_TB.FUT._0857_/A to 0 at                 7950
Undetected fault:   SerialFS_TB.FUT.N56 to 0 at                 8160
Undetected fault:   SerialFS_TB.FUT._0857_/Y to 0 at                 8370
Undetected fault:   SerialFS_TB.FUT._0857_/A to 1 at                 8580
Undetected fault:   SerialFS_TB.FUT.N56 to 1 at                 8790
Undetected fault:   SerialFS_TB.FUT._1022_/Y to 1 at                 9000
Undetected fault:   SerialFS_TB.FUT._1022_/A to 0 at                 9210
Undetected fault:   SerialFS_TB.FUT.N60 to 0 at                 9420
Undetected fault:   SerialFS_TB.FUT._1022_/Y to 0 at                 9630
Undetected fault:   SerialFS_TB.FUT._1022_/A to 1 at                 9840
Undetected fault:   SerialFS_TB.FUT.N60 to 1 at                10050
Undetected fault:   SerialFS_TB.FUT.N63 to 0 at                10260
Undetected fault:   SerialFS_TB.FUT.N66 to 0 at                10680
Undetected fault:   SerialFS_TB.FUT._0842_/Y to 1 at                11100
Undetected fault:   SerialFS_TB.FUT._0842_/A to 0 at                11310
