Test set Size =           1;	Fault Coverage : 0.088889 
Test set Size =           2;	Fault Coverage : 0.129524 
Test set Size =           3;	Fault Coverage : 0.156825 
Test set Size =           4;	Fault Coverage : 0.187302 
Test set Size =           5;	Fault Coverage : 0.431746 
Test set Size =           6;	Fault Coverage : 0.439365 
Test set Size =           7;	Fault Coverage : 0.444444 
Test set Size =           8;	Fault Coverage : 0.455238 
Test set Size =           9;	Fault Coverage : 0.455238 
Test set Size =          10;	Fault Coverage : 0.456508 
Test set Size =          11;	Fault Coverage : 0.457143 
Test set Size =          12;	Fault Coverage : 0.460317 
Test set Size =          13;	Fault Coverage : 0.460317 
Test set Size =          14;	Fault Coverage : 0.486349 
Test set Size =          15;	Fault Coverage : 0.486349 
Test set Size =          16;	Fault Coverage : 0.486349 
Test set Size =          17;	Fault Coverage : 0.616508 
Test set Size =          18;	Fault Coverage : 0.621587 
Test set Size =          19;	Fault Coverage : 0.621587 
Test set Size =          20;	Fault Coverage : 0.638095 
Test set Size =          21;	Fault Coverage : 0.692698 
Test set Size =          22;	Fault Coverage : 0.702222 
Test set Size =          23;	Fault Coverage : 0.733333 
Test set Size =          24;	Fault Coverage : 0.765714 
Test set Size =          25;	Fault Coverage : 0.766349 
Test set Size =          26;	Fault Coverage : 0.766984 
Test set Size =          27;	Fault Coverage : 0.773968 
Test set Size =          28;	Fault Coverage : 0.774603 
Test set Size =          29;	Fault Coverage : 0.774603 
Test set Size =          30;	Fault Coverage : 0.777778 
Test set Size =          31;	Fault Coverage : 0.782222 
Test set Size =          32;	Fault Coverage : 0.782222 
Test set Size =          33;	Fault Coverage : 0.783492 
Test set Size =          34;	Fault Coverage : 0.783492 
Test set Size =          35;	Fault Coverage : 0.784127 
Test set Size =          36;	Fault Coverage : 0.830476 
Test set Size =          37;	Fault Coverage : 0.830476 
Test set Size =          38;	Fault Coverage : 0.830476 
Test set Size =          39;	Fault Coverage : 0.830476 
Test set Size =          40;	Fault Coverage : 0.830476 
Test set Size =          41;	Fault Coverage : 0.830476 
