numOfTV,FLT_Coverage,GIC_Coverage
0,0,0
1,0.222222,0.222222
2,0.222222,0.222222
3,0.222222,0.222222
4,0.222222,0.222222
5,0.222222,0.222222
6,0.222222,0.222222
7,0.666667,0.611111
8,0.666667,0.611111
9,0.666667,0.611111
10,0.666667,0.611111
11,0.666667,0.611111
12,0.666667,0.611111
13,0.666667,0.611111
14,0.666667,0.611111
15,0.666667,0.611111
16,0.666667,0.611111
17,0.666667,0.611111
18,0.666667,0.611111
19,0.666667,0.611111
20,0.666667,0.611111
21,0.666667,0.611111
22,0.666667,0.611111
23,0.777778,0.722222
24,0.888889,0.888889
25,0.888889,0.888889
26,0.888889,0.888889
27,0.888889,0.888889
28,0.888889,0.888889
29,0.888889,0.888889
