numOfTV,GIC_Coverage,FLT_Coverage,
0,0,0,
1,0.404211,0.164516,
2,0.550526,0.333548,
3,0.717895,0.474194,
4,0.827368,0.552903,
5,0.864211,0.552903,
6,0.888421,0.592903,
7,0.922105,0.601935,
8,0.941053,0.625806,
9,0.945263,0.675484,
10,0.955789,0.690968,
11,0.958947,0.700645,
12,0.963158,0.710323,
13,0.964211,0.714839,
14,0.972632,0.749677,
15,0.975789,0.796129,
16,0.975789,0.799355,
17,0.98,0.799355,
18,0.981053,0.800645,
19,0.983158,0.812258,
20,0.983158,0.820645,
21,0.983158,0,
22,0.985263,0,
23,0.985263,0,
24,0.985263,0,
25,0.985263,0,
26,0.985263,0,
27,0.989474,0,
28,0.989474,0,
29,0.991579,0,
30,0.991579,0,
31,0.991579,0,
32,0.991579,0,
33,0.991579,0,
34,0.992632,0,
35,0.992632,0,
36,0.992632,0,
37,0.992632,0,
38,0.994737,0,
39,0.994737,0,
40,0.994737,0,
41,0.994737,0,
42,0.994737,0,
43,0.995789,0,
44,0.995789,0,
45,0.995789,0,
46,0.995789,0,
47,0.995789,0,
48,0.995789,0,
49,0.995789,0,
50,0.995789,0,
51,0.995789,0,
52,0.995789,0,
53,0.995789,0,
54,0.995789,0,
55,0.995789,0,
56,0.995789,0,
57,0.995789,0,
58,0.995789,0,
59,0.995789,0,
60,0.995789,0,
61,0.995789,0,
62,0.996842,0,
