#### LBIST Run is done
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT.G298	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._612_.Y	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._610_.Y	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._609_.Y	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT.G300	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT.G300	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._539_.A	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT.G302	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT.G302	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._566_.Y	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._551_.Y	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._555_.B	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._571_.B	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT.G290	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._574_.A	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT.G290	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._573_.Y	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT.G327	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT.G327	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._576_.A	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._577_.Y	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._581_.B	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._584_.Y	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT.G47	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT.G47	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT.G55	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT.G55	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._587_.Y	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT.G288	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT.G288	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT.G296	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT.G296	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._591_.B	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT.G312	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT.G312	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._603_.B	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT.G43	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT.G43	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT.G53	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT.G53	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._615_.B	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT.G322	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._621_.Y	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._620_.Y	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT.G322	S@0 
#### LBIST Run is done
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT.G45	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._636_.Y	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._635_.Y	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._628_.Y	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT.G292	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT.G292	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._646_.Y	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._645_.Y	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT.G315	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT.G315	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT.G49	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT.G49	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT.DFF_4.Q	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT.DFF_4.Q	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT.G310	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT.G310	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT.G325	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT.G325	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT.G0	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT.G0	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT.G1	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT.G1	S@1 
#### LBIST Run is done
#### LBIST Run is done
#### LBIST Run is done
#### LBIST Run is done
#### LBIST Run is done
#### LBIST Run is done
#### LBIST Run is done
#### LBIST Run is done
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._611_.Y	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._612_.A	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._610_.B	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._609_.B	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._609_.A	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT.G15	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT.G15	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._530_.Y	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._530_.Y	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT.G18	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT.G18	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT.G2	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT.G2	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT.G3	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._600_.B	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._599_.Y	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._597_.B	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._598_.Y	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._596_.Y	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT.G4	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT.G4	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._583_.Y	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._583_.Y	S@0 
#### LBIST Run is done
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._646_.B	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._645_.B	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._645_.A	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._644_.B	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._644_.Y	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._642_.B	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._642_.A	S@1 
#### LBIST Run is done
#### LBIST Run is done
#### LBIST Run is done
#### LBIST Run is done
#### LBIST Run is done
#### LBIST Run is done
#### LBIST Run is done
#### LBIST Run is done
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._532_.Y	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._531_.B	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._531_.A	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._532_.Y	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._533_.Y	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._533_.Y	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._534_.Y	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._534_.Y	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._535_.Y	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._535_.B	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._535_.A	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._535_.Y	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._536_.Y	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._536_.B	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._536_.A	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._536_.Y	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._537_.Y	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._543_.Y	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._542_.B	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._542_.Y	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._541_.B	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._541_.Y	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._540_.B	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._540_.A	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._540_.Y	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._537_.B	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._537_.A	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._543_.Y	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._538_.Y	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._538_.Y	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._539_.Y	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._539_.B	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._539_.Y	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._544_.Y	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._569_.Y	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._568_.Y	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._567_.B	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._565_.B	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._564_.Y	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._567_.Y	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._559_.B	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._558_.B	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._558_.A	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._558_.Y	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._559_.Y	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._550_.B	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._550_.A	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._550_.Y	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._548_.Y	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._546_.B	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._546_.A	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._553_.Y	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._547_.Y	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._544_.B	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._544_.A	S@1 
#### LBIST Run is done
