Test set Size =           1;	Fault Coverage : 0.115996 
Test set Size =           2;	Fault Coverage : 0.160196 
Test set Size =           3;	Fault Coverage : 0.189663 
Test set Size =           4;	Fault Coverage : 0.223807 
Test set Size =           5;	Fault Coverage : 0.454864 
Test set Size =           6;	Fault Coverage : 0.464920 
Test set Size =           7;	Fault Coverage : 0.466791 
Test set Size =           8;	Fault Coverage : 0.477549 
Test set Size =           9;	Fault Coverage : 0.477549 
Test set Size =          10;	Fault Coverage : 0.478952 
Test set Size =          11;	Fault Coverage : 0.480122 
Test set Size =          12;	Fault Coverage : 0.482226 
Test set Size =          13;	Fault Coverage : 0.482226 
Test set Size =          14;	Fault Coverage : 0.502572 
Test set Size =          15;	Fault Coverage : 0.502572 
Test set Size =          16;	Fault Coverage : 0.502572 
Test set Size =          17;	Fault Coverage : 0.625117 
Test set Size =          18;	Fault Coverage : 0.628859 
Test set Size =          19;	Fault Coverage : 0.628859 
Test set Size =          20;	Fault Coverage : 0.644528 
Test set Size =          21;	Fault Coverage : 0.698082 
Test set Size =          22;	Fault Coverage : 0.705566 
Test set Size =          23;	Fault Coverage : 0.728718 
Test set Size =          24;	Fault Coverage : 0.757951 
Test set Size =          25;	Fault Coverage : 0.758419 
Test set Size =          26;	Fault Coverage : 0.758887 
Test set Size =          27;	Fault Coverage : 0.764967 
Test set Size =          28;	Fault Coverage : 0.765435 
Test set Size =          29;	Fault Coverage : 0.765435 
Test set Size =          30;	Fault Coverage : 0.768475 
Test set Size =          31;	Fault Coverage : 0.773152 
Test set Size =          32;	Fault Coverage : 0.773152 
Test set Size =          33;	Fault Coverage : 0.774790 
Test set Size =          34;	Fault Coverage : 0.774790 
Test set Size =          35;	Fault Coverage : 0.775257 
Test set Size =          36;	Fault Coverage : 0.822030 
Test set Size =          37;	Fault Coverage : 0.822030 
Test set Size =          38;	Fault Coverage : 0.822030 
Test set Size =          39;	Fault Coverage : 0.822030 
Test set Size =          40;	Fault Coverage : 0.822030 
Test set Size =          41;	Fault Coverage : 0.822030 
Test set Size =          42;	Fault Coverage : 0.835594 
Test set Size =          43;	Fault Coverage : 0.836763 
Test set Size =          44;	Fault Coverage : 0.836763 
Test set Size =          45;	Fault Coverage : 0.840973 
Test set Size =          46;	Fault Coverage : 0.840973 
Test set Size =          47;	Fault Coverage : 0.855472 
Test set Size =          48;	Fault Coverage : 0.866932 
Test set Size =          49;	Fault Coverage : 0.867867 
Test set Size =          50;	Fault Coverage : 0.867867 
Test set Size =          51;	Fault Coverage : 0.867867 
Test set Size =          52;	Fault Coverage : 0.867867 
Test set Size =          53;	Fault Coverage : 0.867867 
Test set Size =          54;	Fault Coverage : 0.877222 
Test set Size =          55;	Fault Coverage : 0.880964 
Test set Size =          56;	Fault Coverage : 0.881431 
Test set Size =          57;	Fault Coverage : 0.881899 
Test set Size =          58;	Fault Coverage : 0.881899 
Test set Size =          59;	Fault Coverage : 0.894294 
Test set Size =          60;	Fault Coverage : 0.894761 
Test set Size =          61;	Fault Coverage : 0.899439 
Test set Size =          62;	Fault Coverage : 0.899439 
Test set Size =          63;	Fault Coverage : 0.900374 
Test set Size =          64;	Fault Coverage : 0.900374 
Test set Size =          65;	Fault Coverage : 0.903181 
Test set Size =          66;	Fault Coverage : 0.903181 
Test set Size =          67;	Fault Coverage : 0.903181 
Test set Size =          68;	Fault Coverage : 0.903181 
Test set Size =          69;	Fault Coverage : 0.903181 
Test set Size =          70;	Fault Coverage : 0.903181 
Test set Size =          71;	Fault Coverage : 0.903181 
Test set Size =          72;	Fault Coverage : 0.903181 
Test set Size =          73;	Fault Coverage : 0.909729 
Test set Size =          74;	Fault Coverage : 0.909729 
Test set Size =          75;	Fault Coverage : 0.910196 
Test set Size =          76;	Fault Coverage : 0.910196 
Test set Size =          77;	Fault Coverage : 0.913704 
Test set Size =          78;	Fault Coverage : 0.913704 
Test set Size =          79;	Fault Coverage : 0.914172 
Test set Size =          80;	Fault Coverage : 0.914172 
Test set Size =          81;	Fault Coverage : 0.914172 
Test set Size =          82;	Fault Coverage : 0.915809 
Test set Size =          83;	Fault Coverage : 0.915809 
Test set Size =          84;	Fault Coverage : 0.916277 
Test set Size =          85;	Fault Coverage : 0.916277 
Test set Size =          86;	Fault Coverage : 0.916277 
Test set Size =          87;	Fault Coverage : 0.916277 
Test set Size =          88;	Fault Coverage : 0.916277 
Test set Size =          89;	Fault Coverage : 0.916277 
Test set Size =          90;	Fault Coverage : 0.916277 
Test set Size =          91;	Fault Coverage : 0.916277 
Test set Size =          92;	Fault Coverage : 0.916277 
Test set Size =          93;	Fault Coverage : 0.917914 
Test set Size =          94;	Fault Coverage : 0.920253 
Test set Size =          95;	Fault Coverage : 0.920253 
Test set Size =          96;	Fault Coverage : 0.920253 
Test set Size =          97;	Fault Coverage : 0.920253 
Test set Size =          98;	Fault Coverage : 0.920253 
Test set Size =          99;	Fault Coverage : 0.920253 
Test set Size =         100;	Fault Coverage : 0.922591 
Test set Size =         101;	Fault Coverage : 0.922591 
