Test set Size =           1;	Fault Coverage : 0.318182 
Test set Size =           2;	Fault Coverage : 0.590909 
Test set Size =           3;	Fault Coverage : 0.727273 
Test set Size =           4;	Fault Coverage : 0.818182 
Test set Size =           5;	Fault Coverage : 0.818182 
Test set Size =           6;	Fault Coverage : 0.818182 
Test set Size =           7;	Fault Coverage : 0.818182 
Test set Size =           8;	Fault Coverage : 0.863636 
Test set Size =           9;	Fault Coverage : 0.909091 
Test set Size =          10;	Fault Coverage : 0.954545 
Test set Size =          11;	Fault Coverage : 0.954545 
Test set Size =          12;	Fault Coverage : 0.954545 
Test set Size =          13;	Fault Coverage : 1.000000 
Test set Size =          14;	Fault Coverage : 1.000000 
Test set Size =          15;	Fault Coverage : 1.000000 
Test set Size =          16;	Fault Coverage : 1.000000 
Test set Size =          17;	Fault Coverage : 1.000000 
Test set Size =          18;	Fault Coverage : 1.000000 
Test set Size =          19;	Fault Coverage : 1.000000 
Test set Size =          20;	Fault Coverage : 1.000000 
Test set Size =          21;	Fault Coverage : 1.000000 
Test set Size =          22;	Fault Coverage : 1.000000 
Test set Size =          23;	Fault Coverage : 1.000000 
Test set Size =          24;	Fault Coverage : 1.000000 
Test set Size =          25;	Fault Coverage : 1.000000 
Test set Size =          26;	Fault Coverage : 1.000000 
Test set Size =          27;	Fault Coverage : 1.000000 
Test set Size =          28;	Fault Coverage : 1.000000 
Test set Size =          29;	Fault Coverage : 1.000000 
Test set Size =          30;	Fault Coverage : 1.000000 
Simulation Time:                 7296 
