Test set Size =           1;	Fault Coverage : 0.222222 
Test set Size =           2;	Fault Coverage : 0.222222 
Test set Size =           3;	Fault Coverage : 0.222222 
Test set Size =           4;	Fault Coverage : 0.222222 
Test set Size =           5;	Fault Coverage : 0.222222 
Test set Size =           6;	Fault Coverage : 0.222222 
Test set Size =           7;	Fault Coverage : 0.666667 
Test set Size =           8;	Fault Coverage : 0.666667 
Test set Size =           9;	Fault Coverage : 0.666667 
Test set Size =          10;	Fault Coverage : 0.666667 
Test set Size =          11;	Fault Coverage : 0.666667 
Test set Size =          12;	Fault Coverage : 0.666667 
Test set Size =          13;	Fault Coverage : 0.666667 
Test set Size =          14;	Fault Coverage : 0.666667 
Test set Size =          15;	Fault Coverage : 0.666667 
Test set Size =          16;	Fault Coverage : 0.666667 
Test set Size =          17;	Fault Coverage : 0.666667 
Test set Size =          18;	Fault Coverage : 0.666667 
Test set Size =          19;	Fault Coverage : 0.666667 
Test set Size =          20;	Fault Coverage : 0.666667 
Test set Size =          21;	Fault Coverage : 0.666667 
Test set Size =          22;	Fault Coverage : 0.666667 
Test set Size =          23;	Fault Coverage : 0.777778 
Test set Size =          24;	Fault Coverage : 0.888889 
Test set Size =          25;	Fault Coverage : 0.888889 
Test set Size =          26;	Fault Coverage : 0.888889 
Test set Size =          27;	Fault Coverage : 0.888889 
Test set Size =          28;	Fault Coverage : 0.888889 
Test set Size =          29;	Fault Coverage : 0.888889 
Simulation Time:                 3180 
